"","CatalogNumber","YearCollected","MonthCollected","DayCollected","IndividualFishID","Dissector_and_Examiner","DissectionDate","Sex","TotalLength_mm","StandardLength_mm","Weight_mg","CI","combo","Latitude","Longitude","psite_spp","psite_count"
"1",30602,1963,10,24,"30602_04","GMC IJ","6/13/2024",NA,56,47,1616,"control","control_1954-1963",30.77861,-89.82972,"ACANTH.BIGB",0
"2",30602,1963,10,24,"30602_01","IJ DMDM","6/13/2024","F",53,42,494,"control","control_1954-1963",30.77861,-89.82972,"ACANTH.BIGB",0
"3",30602,1963,10,24,"30602_03","DMDM","6/13/2024",NA,58,48,1578,"control","control_1954-1963",30.77861,-89.82972,"ACANTH.BIGB",0
"4",30602,1963,10,24,"30602_02","IJ","6/13/2024",NA,40,30,426,"control","control_1954-1963",30.77861,-89.82972,"ACANTH.BIGB",0
"5",30957,1963,11,21,"30957_01","SC DMDM","6/20/2024","F",54,46,1098,"control","control_1954-1963",30.77861,-89.82972,"ACANTH.BIGB",0
"6",30957,1963,11,21,"30957_03","DJB CLW","6/20/2024",NA,67,53,2068,"control","control_1954-1963",30.77861,-89.82972,"ACANTH.BIGB",0
"7",30957,1963,11,21,"30957_04","DJB GMC","6/20/2024",NA,40,33,379,"control","control_1954-1963",30.77861,-89.82972,"ACANTH.BIGB",0
"8",30957,1963,11,21,"30957_02","SC GMC","6/20/2024",NA,44,35,493,"control","control_1954-1963",30.77861,-89.82972,"ACANTH.BIGB",0
"9",31254,1963,7,11,"31254_01","hmt acl dd","5/6/2024","na",68,57,NA,"control","control_1954-1963",30.77861,-89.82972,"ACANTH.BIGB",0
"10",31254,1963,7,11,"31254_02","HMT ACL","5/6/2024","F",63,51,NA,"control","control_1954-1963",30.77861,-89.82972,"ACANTH.BIGB",0
"11",31254,1963,7,11,"31254_04","sd acl","5/7/2024","na",39,31,NA,"control","control_1954-1963",30.77861,-89.82972,"ACANTH.BIGB",0
"12",31254,1963,7,11,"31254_03","HMT DD","5/6/2024",NA,68,55,NA,"control","control_1954-1963",30.77861,-89.82972,"ACANTH.BIGB",0
"13",37344,1965,3,18,"37344_01","SC CJW GMC IJ","6/12/2024",NA,67,56,2716,"impact","impact_1964-1973",30.70222,-89.84417,"ACANTH.BIGB",0
"14",37344,1965,3,18,"37344_02","DJB DMDM","6/12/2024","F",71,52,3394,"impact","impact_1964-1973",30.70222,-89.84417,"ACANTH.BIGB",0
